pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
50,c,29,2,118,2,,,,,314.57480259999284,,314.56536939999205,314.57480259999284,315.5746882999956,315.5746882999956,315.5746882999956,315.5746882999956,315.5746882999956,316.5740153999941,316.5740153999941,316.89842699997826,c,1,0.30935739999404177,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,29,3,119,3,,,,,316.90791939999326,,316.9000074999931,316.90791939999326,317.9082657999825,317.9082657999825,317.9082657999825,317.9082657999825,317.9082657999825,318.9077399999951,318.9077399999951,319.2147997999855,z,1,0.3047077000082936,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,30,0,120,0,,,,,319.2244486999989,,319.2163055999845,319.2244486999989,320.22429379998357,320.22429379998357,320.22429379998357,320.22429379998357,320.22429379998357,321.22384550000424,321.22384550000424,321.53089749999344,x,1,0.3034192999766674,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,30,1,121,1,,,,,321.5413733999885,,321.53250519998255,321.5413733999885,322.54103079999913,322.54103079999913,322.54103079999913,322.54103079999913,322.54103079999913,323.54077769999276,323.54077769999276,323.79686790000414,v,1,0.2442280999966897,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,30,2,122,2,,,,,323.8075013999769,,323.79840420000255,323.8075013999769,324.80776959998184,324.80776959998184,324.80776959998184,324.80776959998184,324.80776959998184,325.8069318999769,325.8069318999769,326.1802263999998,c,1,0.36756399998557754,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,30,3,123,3,,,,,326.19051769998623,,326.18197939998936,326.19051769998623,327.19081000000006,327.19081000000006,327.19081000000006,327.19081000000006,327.19081000000006,328.1901381999778,328.1901381999778,328.446225599997,z,1,0.24849699999322183,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-50,x,31,0,124,0,,,,,328.45762879998074,,328.4478648999939,328.45762879998074,329.4572488999984,329.4572488999984,329.4572488999984,329.4572488999984,329.4572488999984,330.45694209999056,330.45694209999056,330.77969589998247,x,1,0.2950812999915797,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
150,v,31,1,125,1,,,,,330.7909289999807,,330.7813230000029,330.7909289999807,331.7903640999866,331.7903640999866,331.7903640999866,331.7903640999866,331.7903640999866,332.8056232999952,332.8056232999952,333.27922480000416,v,1,0.446293599990895,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
50,c,31,2,126,2,,,,,333.2904116999998,,333.2808245999913,333.2904116999998,334.29030989998137,334.29030989998137,334.29030989998137,334.29030989998137,334.29030989998137,335.29028230000404,335.29028230000404,335.863457200001,c,1,0.5567743999999948,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
-150,z,31,3,127,3,,,,,335.87365449999925,,335.8651227999944,335.87365449999925,336.8737947999907,336.8737947999907,336.8737947999907,336.8737947999907,336.8737947999907,337.8729059000034,337.8729059000034,338.3804433000041,z,1,0.5045394000189845,None,549741,001,2024-10-17_13h07.06.328,Task 4,2024.1.5,None,2024-10-17 13h07.11.929106 +0530,
