trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,Fixation.started,key_resp.started,Fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,0,44.02573450002819,,44.01569659996312,44.02573450002819,45.02577049995307,45.02577049995307,45.86209539999254,-2,down,1,0.8282799000153318,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
11,0,11,0,45.87625199998729,,45.86531789996661,45.87625199998729,46.87600389996078,46.87600389996078,48.09529660001863,-4,up,0,1.2133713000221178,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
12,0,12,0,48.10879530000966,,48.09901060000993,48.10879530000966,49.10943229997065,49.10943229997065,56.04491759999655,-4,down,1,6.933050199993886,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
13,0,13,0,56.05847219994757,,56.04842250002548,56.05847219994757,57.05930820002686,57.05930820002686,62.694125700043514,0,down,0,5.616448200074956,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
14,0,14,0,62.708047099993564,,62.69744899997022,62.708047099993564,63.708143800031394,63.708143800031394,67.06027499993797,0,up,1,3.348420700058341,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
15,0,15,0,67.07541629998013,,67.06368180003483,67.07541629998013,68.0747542999452,68.0747542999452,70.47789189999457,0,up,1,2.400430600042455,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
16,0,16,0,70.49121849995572,,70.48114799999166,70.49121849995572,71.49161419994198,71.49161419994198,72.17809439997654,4,down,1,0.6837304999353364,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
17,0,17,0,72.19104689999949,,72.18044849997386,72.19104689999949,73.19163549994119,73.19163549994119,73.87764810002409,1,up,0,0.6829799000406638,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
18,0,18,0,73.89100399997551,,73.88108399999328,73.89100399997551,74.8913713999791,74.8913713999791,75.54340139997657,-3,down,1,0.6344455999787897,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
19,0,19,0,75.55782810004894,,75.54777830000967,75.55782810004894,76.55794960004278,76.55794960004278,77.61143309995532,2,down,1,1.0508715000469238,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
20,0,20,0,77.62408450001385,,77.61481769999955,77.62408450001385,78.62439669994637,78.62439669994637,85.59309680003207,0,down,0,6.9665224000345916,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
21,0,21,0,85.60716819996014,,85.596705700038,85.60716819996014,86.60732840001583,86.60732840001583,87.5258279000409,3,down,1,0.9153537999372929,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
22,0,22,0,87.54158920003101,,87.52947750000749,87.54158920003101,88.54082500003278,88.55808149999939,89.1255379000213,2,down,1,0.5824948000954464,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
23,0,23,0,89.14052879996598,,89.12829390005209,89.14052879996598,90.14077779999934,90.14077779999934,96.02558030001819,0,down,0,5.88160780002363,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
24,0,24,0,96.0401863999432,,96.02940160001162,96.0401863999432,97.03990740003064,97.03990740003064,97.74357829999644,0,down,0,0.7008018000051379,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
25,0,25,0,97.75681960000657,,97.74733649997506,97.75681960000657,98.75423339998815,98.75423339998815,99.66058759996668,0,up,1,0.9038393999217078,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
26,0,26,0,99.67362160002813,,99.66372039995622,99.67362160002813,100.67320169997402,100.67320169997402,118.98920459998772,0,down,0,None,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
27,0,27,0,119.00510169996414,,118.99149889999535,119.00510169996414,120.00678549997974,120.00678549997974,120.82495180005208,2,down,1,0.8112139001023024,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
28,0,28,0,120.83868639997672,,120.82846879994031,120.83868639997672,121.83879339997657,121.83879339997657,122.72441290004645,0,down,0,0.8748207999160513,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
29,0,29,0,122.7387203000253,,122.7281110000331,122.7387203000253,123.73892969998997,123.73892969998997,128.04136859998107,0,down,0,4.299786700052209,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
30,0,30,0,128.05468940001447,,128.04460220003966,128.05468940001447,129.05510480003431,129.05510480003431,130.99007039994467,-3,down,1,1.9255855000810698,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
31,0,31,0,131.00484209996648,,130.9932633000426,131.00484209996648,132.00497460004408,132.00497460004408,132.72508430003654,-5,down,1,0.7149977000663057,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
32,0,32,0,132.7382974999491,,132.7288247999968,132.7382974999491,133.7377408000175,133.7377408000175,142.47330710000824,0,up,1,8.724349900032394,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
33,0,33,0,142.48718980001286,,142.47702630003914,142.48718980001286,143.487201299984,143.487201299984,145.54081679997034,0,down,0,2.050852300017141,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
34,0,34,0,145.55388180003501,,145.54424900002778,145.55388180003501,146.5543980000075,146.5543980000075,147.2897754999576,0,down,0,0.7284426999976858,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
35,0,35,0,147.30410579999443,,147.29304519994184,147.30410579999443,148.30377719993703,148.30377719993703,161.98639740003273,0,down,0,13.677182500017807,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
36,0,36,0,162.00192710000556,,161.98850510001648,162.00192710000556,162.98640369996428,163.00326369993854,163.8049677000381,0,down,0,0.8050585999153554,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
37,0,37,0,163.8195635000011,,163.8090407999698,163.8195635000011,164.81969289993867,164.81969289993867,165.55463329993654,-3,down,1,0.724714900017716,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
38,0,38,0,165.56944869994186,,165.56049369997345,165.56944869994186,166.56911959999707,166.58593059994746,170.77318899997044,-4,down,1,4.20125869999174,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
39,0,39,0,170.78603790001944,,170.77653899998404,170.78603790001944,171.78644329996314,171.78644329996314,172.53930429997854,0,up,1,0.7504994999617338,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
40,0,40,0,172.55252899997868,,172.54249469994102,172.55252899997868,173.55254259996582,173.55254259996582,174.40333190001547,0,up,1,0.8486277000047266,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
41,0,41,0,174.4189241999993,,174.4050975999562,174.4189241999993,175.41945559997112,175.41945559997112,182.68805839994457,0,down,0,7.26327739993576,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
42,0,42,0,182.70266459998675,,182.69152750005014,182.70266459998675,183.70175440004095,183.71906649996527,194.67157999996562,-2,down,1,10.966627900023013,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
43,0,43,0,194.68448539997917,,194.67476840002928,194.68448539997917,195.6851750999922,195.6851750999922,199.15547160001006,-4,up,0,3.467573000001721,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
44,0,44,0,199.16740569996182,,199.15918019996025,199.16740569996182,200.16654540004674,200.16654540004674,200.75357830000576,-2,up,0,0.5845454999944195,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
45,0,45,0,200.76717879995704,,200.7568035000004,200.76717879995704,201.76863259996753,201.76863259996753,202.42031519999728,2,down,1,0.6487911000149325,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
46,0,46,0,202.43446250003763,,202.4233001000248,202.43446250003763,203.43480089993682,203.43480089993682,203.92080820002593,3,down,1,0.48336319997906685,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
47,0,47,0,203.93460319994483,,203.92398860002868,203.93460319994483,204.93396079994272,204.93396079994272,206.83668179996312,0,up,1,1.9000684999627993,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
48,0,48,0,206.85099940001965,,206.83990439993795,206.85099940001965,207.8504166000057,207.8504166000057,255.13388850004412,2,up,0,47.275544699979946,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
49,0,49,0,255.148037499981,,255.13762809999753,255.148037499981,256.148526999983,256.148526999983,257.25216439994983,0,up,1,1.1004312000004575,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
50,0,50,0,257.26472400000785,,257.2553577000508,257.26472400000785,258.26505960000213,258.26505960000213,263.30046229995787,-3,up,0,5.032510599936359,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
51,0,51,0,263.329610100016,,263.3067044999916,263.329610100016,264.31387940002605,264.33103500003926,264.9841331000207,0,down,0,0.6677322000032291,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
52,0,52,0,264.99786929995753,,264.9880137,264.99786929995753,265.9978140000021,265.9978140000021,266.5840279000113,0,down,0,0.5837374000111595,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
53,0,53,0,266.5975308000343,,266.58797819993924,266.5975308000343,267.59750499995425,267.59750499995425,275.16617360000964,1,up,0,7.556180900079198,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
54,0,54,0,275.180112299975,,275.171402100008,275.180112299975,276.17986230005044,276.17986230005044,278.16524500004016,0,up,1,1.96875519992318,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
55,0,55,0,278.1802493999712,,278.16867909999564,278.1802493999712,279.177950900048,279.19609270000365,283.8500795,-2,up,0,4.669152499991469,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
56,0,56,0,283.86316569999326,,283.8533979000058,283.86316569999326,284.86353289999533,284.86353289999533,290.0329122999683,2,up,0,5.166527800029144,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
57,0,57,0,290.06007330003195,,290.03784949996043,290.06007330003195,291.04674190003425,291.0630748999538,296.43158460000996,0,down,0,5.376820900011808,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
58,0,58,0,296.4457232999848,,296.43483159993775,296.4457232999848,297.4446408000076,297.4446408000076,300.13168039999437,-3,up,0,2.6739988999906927,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
59,0,59,0,300.1459714999655,,300.1352006000234,300.1459714999655,301.14527209999505,301.14527209999505,302.46608699997887,0,down,0,1.3177301000105217,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
60,0,60,0,302.4784792000428,,302.47010220005177,302.4784792000428,303.47899600001983,303.47899600001983,304.2809826999437,3,down,1,0.7929807000327855,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
61,0,61,0,304.29492509993725,,304.2843850000063,304.29492509993725,305.29572409996763,305.29572409996763,307.5645365000237,0,up,1,2.264299999922514,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
62,0,62,0,307.5791174999904,,307.5681184999412,307.5791174999904,308.5790819999529,308.5790819999529,309.6474200999364,-5,down,1,1.0607196000637487,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
63,0,63,0,309.6616083999397,,309.65057259995956,309.6616083999397,310.6613169000484,310.6613169000484,311.87911700003315,0,down,0,1.2127640000544488,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
64,0,64,0,311.8945472999476,,311.88263619993813,311.8945472999476,312.89521979994606,312.89521979994606,313.6302590999985,-3,down,1,0.7268875000299886,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
65,0,65,0,313.6455375000369,,313.63506410003174,313.6455375000369,314.6446895999834,314.6446895999834,315.34773369994946,-2,down,1,0.6904218000127003,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
66,0,66,0,315.36162239999976,,315.35129509994294,315.36162239999976,316.3616033999715,316.3616033999715,319.16320499998983,1,up,0,2.7915308999363333,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
67,0,67,0,319.1780820999993,,319.16670659999363,319.1780820999993,320.17846900003497,320.17846900003497,329.9461965999799,-2,down,1,9.76475269999355,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
68,0,68,0,329.9604109999491,,329.949421599973,329.9604109999491,330.96081810002215,330.96081810002215,334.7798877999885,0,down,0,3.8039917000569403,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
69,0,69,0,334.79369279998355,,334.7834157999605,334.79369279998355,335.7935836999677,335.7935836999677,337.53039480000734,2,down,1,1.7339357999153435,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
70,0,70,0,337.5428220999893,,337.533813899965,337.5428220999893,338.54366069997195,338.54366069997195,338.9970949999988,-3,down,1,0.4508934000041336,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
71,0,71,0,339.0099255000241,,339.00053049996495,339.0099255000241,340.0106585000176,340.0106585000176,340.0465931999497,-4,up,0,0.0330557000124827,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
72,0,72,0,340.05973179999273,,340.04979479999747,340.05973179999273,341.05987690004986,341.05987690004986,341.5295269000344,0,up,1,0.4668709000106901,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
73,0,73,0,341.5435760000255,,341.5329614999937,341.5435760000255,342.5476434000302,342.5476434000302,342.6625925999833,0,up,1,0.11288780008908361,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
74,0,74,0,342.6770099999849,,342.6651388000464,342.6770099999849,343.67668479995336,343.67668479995336,344.8800101999659,-4,up,0,1.1968337999423966,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
75,0,75,0,344.8934689000016,,344.8832259000046,344.8934689000016,345.89385300001595,345.89385300001595,346.92924680002034,-3,up,0,1.0322877999860793,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
76,0,76,0,346.9432531000348,,346.93239750002977,346.9432531000348,347.9434592999751,347.9434592999751,348.92922839999665,0,down,0,0.9730950000230223,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
77,0,77,0,348.94447670003865,,348.9328082000138,348.94447670003865,349.9436363000423,349.95973640005104,352.0131355000194,-2,up,0,2.066544400062412,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
78,0,78,0,352.0262217000127,,352.01657830004115,352.0262217000127,353.0260281000519,353.0260281000519,359.14619450003374,0,up,1,6.117297099903226,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
79,0,79,0,359.15961950004566,,359.1494067000458,359.15961950004566,360.15915900003165,360.15915900003165,380.72906839998905,-4,down,1,20.56656489998568,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
80,0,80,0,380.74116650002543,,380.73230379994493,380.74116650002543,381.7411719999509,381.7411719999509,383.21151409996673,2,down,1,1.467763900058344,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
81,0,81,0,383.2241399999475,,383.2151172000449,383.2241399999475,384.22423900000285,384.22423900000285,384.44503940001596,0,up,1,0.21804920001886785,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
82,0,82,0,384.4578804000048,,384.44860160001554,384.4578804000048,385.4582837000489,385.4582837000489,386.04288169997744,-3,down,1,0.5678808999946341,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
83,0,83,0,386.0583167000441,,386.0460194000043,386.0583167000441,387.05713470000774,387.05713470000774,387.3605206999928,0,down,0,0.28722199995536357,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
84,0,84,0,387.37425090000033,,387.36382259998936,387.37425090000033,388.37416010000743,388.37416010000743,388.56020940002054,-2,down,1,0.18022550002206117,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
85,0,85,0,388.57446719997097,,388.56336429994553,388.57446719997097,389.5738927000202,389.5738927000202,389.6272581999656,0,down,0,0.05034609988797456,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
86,0,86,0,389.640691800043,,389.630736000021,389.640691800043,390.6404717999976,390.6404717999976,391.0432106000371,0,down,0,0.39524069998878986,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
87,0,87,0,391.05771009996533,,391.04678330000024,391.05771009996533,392.0578170999652,392.0578170999652,392.76045679999515,0,down,0,0.6998792999656871,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
88,0,88,0,392.7727724999422,,392.76442619995214,392.7727724999422,393.77350180002395,393.77350180002395,394.56122379994486,-2,up,0,0.7848877999931574,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
89,0,89,0,394.57391819998156,,394.56462299998384,394.57391819998156,395.57420439994894,395.57420439994894,395.90960450004786,4,up,0,0.33345949999056756,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
90,0,90,0,395.92423420003615,,395.9135738000041,395.92423420003615,396.9234780999832,396.9234780999832,396.9426183999749,0,up,1,0.0024754999903962016,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
91,0,91,0,396.9570455000503,,396.946458099992,396.9570455000503,397.9578564999392,397.9578564999392,398.1104480000213,0,down,0,0.13435039995238185,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
92,0,92,0,398.12372619996313,,398.1136056999676,398.12372619996313,399.12418489996344,399.12418489996344,399.40993540000636,-3,down,1,0.2756832999875769,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
93,0,93,0,399.42358740000054,,399.4132945999736,399.42358740000054,400.4237927000504,400.4237927000504,401.3768166999798,1,up,0,0.9503404999850318,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
94,0,94,0,401.3902220999589,,401.3802402999718,401.3902220999589,402.39054489997216,402.39054489997216,402.61039479996543,0,up,1,0.21510619996115565,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
95,0,95,0,402.62378669995815,,402.6135337000014,402.62378669995815,403.6232838999713,403.6232838999713,404.56055679998826,0,up,1,0.9345767999766394,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
96,0,96,0,404.57351410004776,,404.5637055999832,404.57351410004776,405.5731562000001,405.5731562000001,405.7935884000035,0,up,1,0.21736909996252507,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
97,0,97,0,405.8068334000418,,405.79749200004153,405.8068334000418,406.80639080004767,406.80639080004767,411.8581799999811,4,down,1,5.043086200021207,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
98,0,98,0,411.8725703000091,,411.86133159999736,411.8725703000091,412.8729774999665,412.8729774999665,413.17456590000074,1,up,0,0.2932894000550732,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
99,0,99,0,413.1896281000227,,413.1777276999783,413.1896281000227,414.1898784999503,414.1898784999503,415.0083365000319,0,up,1,0.800862199976109,None,869030,001,2024-09-13_11h28.09.052,Task 1,2024.1.5,None,2024-09-13 11h28.14.881809 +0530,
